Prawdziwy,LM,K-Mean
0,[ 0.83479224  0.16520776],[ 0.9  0.1]
0,[ 0.87619329  0.12380671],[ 1.  0.]
0,[ 0.75825673  0.24174327],[ 1.  0.]
0,[ 0.80251567  0.19748433],[ 0.8  0.2]
0,[ 0.8507497  0.1492503],[ 0.8  0.2]
0,[ 0.91576845  0.08423155],[ 0.9  0.1]
0,[ 0.8471314  0.1528686],[ 0.9  0.1]
0,[ 0.86848045  0.13151955],[ 0.9  0.1]
1,[ 0.70000529  0.29999471],[ 0.4  0.6]
0,[ 0.90743351  0.09256649],[ 1.  0.]
0,[ 0.78224129  0.21775871],[ 0.8  0.2]
0,[ 0.93353028  0.06646972],[ 0.9  0.1]
0,[ 0.90736987  0.09263013],[ 0.8  0.2]
0,[ 0.84722946  0.15277054],[ 0.9  0.1]
0,[ 0.87366145  0.12633855],[ 0.7  0.3]
0,[ 0.82646071  0.17353929],[ 0.9  0.1]
0,[ 0.93162772  0.06837228],[ 0.9  0.1]
0,[ 0.84572775  0.15427225],[ 0.9  0.1]
0,[ 0.9372935  0.0627065],[ 0.9  0.1]
0,[ 0.92931794  0.07068206],[ 1.  0.]
0,[ 0.76023061  0.23976939],[ 0.9  0.1]
0,[ 0.89897811  0.10102189],[ 1.  0.]
0,[ 0.91098727  0.08901273],[ 1.  0.]
1,[ 0.90479489  0.09520511],[ 1.  0.]
0,[ 0.85110518  0.14889482],[ 0.8  0.2]
0,[ 0.92432852  0.07567148],[ 1.  0.]
1,[ 0.77135554  0.22864446],[ 0.5  0.5]
0,[ 0.75252549  0.24747451],[ 0.8  0.2]
0,[ 0.82646071  0.17353929],[ 0.9  0.1]
0,[ 0.90300788  0.09699212],[ 0.8  0.2]
1,[ 0.89938999  0.10061001],[ 0.8  0.2]
0,[ 0.85065349  0.14934651],[ 0.9  0.1]
0,[ 0.90850271  0.09149729],[ 1.  0.]
0,[ 0.85120114  0.14879886],[ 1.  0.]
0,[ 0.91576845  0.08423155],[ 0.9  0.1]
0,[ 0.75519047  0.24480953],[ 0.8  0.2]
0,[ 0.69698062  0.30301938],[ 0.6  0.4]
1,[ 0.93885148  0.06114852],[ 0.8  0.2]
0,[ 0.75533048  0.24466952],[ 0.6  0.4]
1,[ 0.92492767  0.07507233],[ 0.9  0.1]
0,[ 0.92218129  0.07781871],[ 0.9  0.1]
0,[ 0.88884464  0.11115536],[ 0.9  0.1]
1,[ 0.83419596  0.16580404],[ 0.9  0.1]
0,[ 0.9176111  0.0823889],[ 1.  0.]
0,[ 0.86574038  0.13425962],[ 1.  0.]
0,[ 0.92492767  0.07507233],[ 0.9  0.1]
0,[ 0.93885148  0.06114852],[ 0.8  0.2]
0,[ 0.90575555  0.09424445],[ 0.9  0.1]
1,[ 0.80207116  0.19792884],[ 0.6  0.4]
0,[ 0.88876978  0.11123022],[ 0.8  0.2]
0,[ 0.80570064  0.19429936],[ 0.9  0.1]
0,[ 0.83902583  0.16097417],[ 1.  0.]
0,[ 0.83479224  0.16520776],[ 0.9  0.1]
0,[ 0.87627543  0.12372457],[ 1.  0.]
0,[ 0.87011227  0.12988773],[ 0.8  0.2]
0,[ 0.81684965  0.18315035],[ 0.9  0.1]
0,[ 0.82656932  0.17343068],[ 1.  0.]
0,[ 0.90453971  0.09546029],[ 1.  0.]
1,[ 0.67253772  0.32746228],[ 0.5  0.5]
0,[ 0.74821312  0.25178688],[ 0.5  0.5]
0,[ 0.84973155  0.15026845],[ 1.  0.]
0,[ 0.69866672  0.30133328],[ 0.8  0.2]
0,[ 0.87366145  0.12633855],[ 0.7  0.3]
0,[ 0.90718468  0.09281532],[ 1.  0.]
0,[ 0.89090541  0.10909459],[ 1.  0.]
0,[ 0.93539974  0.06460026],[ 0.9  0.1]
1,[ 0.80694934  0.19305066],[ 0.7  0.3]
0,[ 0.74064676  0.25935324],[ 0.6  0.4]
0,[ 0.82554576  0.17445424],[ 0.9  0.1]
0,[ 0.75519047  0.24480953],[ 0.8  0.2]
0,[ 0.80251567  0.19748433],[ 0.8  0.2]
0,[ 0.85464556  0.14535444],[ 1.  0.]
1,[ 0.84307112  0.15692888],[ 0.6  0.4]
0,[ 0.91245395  0.08754605],[ 1.  0.]
0,[ 0.86123106  0.13876894],[ 1.  0.]
0,[ 0.90830718  0.09169282],[ 0.8  0.2]
0,[ 0.9344553  0.0655447],[ 0.9  0.1]
0,[ 0.86979478  0.13020522],[ 1.  0.]
0,[ 0.86615362  0.13384638],[ 0.9  0.1]
0,[ 0.69925638  0.30074362],[ 0.4  0.6]
0,[ 0.85552827  0.14447173],[ 1.  0.]
0,[ 0.83419596  0.16580404],[ 0.9  0.1]
0,[ 0.87997579  0.12002421],[ 0.9  0.1]
0,[ 0.83479224  0.16520776],[ 0.9  0.1]
0,[ 0.85845665  0.14154335],[ 0.9  0.1]
0,[ 0.90815559  0.09184441],[ 0.8  0.2]
0,[ 0.80207116  0.19792884],[ 0.6  0.4]
0,[ 0.8471314  0.1528686],[ 0.9  0.1]
0,[ 0.85120114  0.14879886],[ 1.  0.]
0,[ 0.82605786  0.17394214],[ 0.9  0.1]
0,[ 0.86218393  0.13781607],[ 0.9  0.1]
0,[ 0.71917611  0.28082389],[ 0.9  0.1]
0,[ 0.90300788  0.09699212],[ 0.8  0.2]
0,[ 0.81684965  0.18315035],[ 0.9  0.1]
0,[ 0.76533601  0.23466399],[ 0.2  0.8]
0,[ 0.86615362  0.13384638],[ 0.9  0.1]
0,[ 0.91378444  0.08621556],[ 1.  0.]
0,[ 0.93819804  0.06180196],[ 1.  0.]
0,[ 0.92641815  0.07358185],[ 0.9  0.1]
0,[ 0.91091954  0.08908046],[ 1.  0.]
0,[ 0.76583894  0.23416106],[ 0.5  0.5]
0,[ 0.85110518  0.14889482],[ 0.8  0.2]
0,[ 0.92492767  0.07507233],[ 0.9  0.1]
0,[ 0.88884464  0.11115536],[ 0.9  0.1]
0,[ 0.81696294  0.18303706],[ 0.8  0.2]
0,[ 0.78675528  0.21324472],[ 0.8  0.2]
0,[ 0.90479489  0.09520511],[ 1.  0.]
0,[ 0.86260638  0.13739362],[ 1.  0.]
0,[ 0.88629883  0.11370117],[ 1.  0.]
0,[ 0.90025697  0.09974303],[ 0.6  0.4]
0,[ 0.8431713  0.1568287],[ 0.9  0.1]
0,[ 0.86615362  0.13384638],[ 0.9  0.1]
0,[ 0.91314062  0.08685938],[ 0.9  0.1]
0,[ 0.8427  0.1573],[ 1.  0.]
0,[ 0.80251567  0.19748433],[ 0.8  0.2]
0,[ 0.91755725  0.08244275],[ 1.  0.]
1,[ 0.92720202  0.07279798],[ 1.  0.]
0,[ 0.87657894  0.12342106],[ 0.9  0.1]
0,[ 0.93880798  0.06119202],[ 1.  0.]
0,[ 0.6656703  0.3343297],[ 0.8  0.2]
0,[ 0.92962527  0.07037473],[ 0.8  0.2]
1,[ 0.93328596  0.06671404],[ 0.9  0.1]
0,[ 0.65873193  0.34126807],[ 0.5  0.5]
0,[ 0.86251658  0.13748342],[ 1.  0.]
0,[ 0.90850271  0.09149729],[ 1.  0.]
0,[ 0.93992955  0.06007045],[ 0.9  0.1]
0,[ 0.85155623  0.14844377],[ 1.  0.]
0,[ 0.90182752  0.09817248],[ 0.9  0.1]
1,[ 0.87366145  0.12633855],[ 0.7  0.3]
0,[ 0.90025697  0.09974303],[ 0.6  0.4]
1,[ 0.91998174  0.08001826],[ 0.7  0.3]
0,[ 0.91130916  0.08869084],[ 1.  0.]
0,[ 0.81227893  0.18772107],[ 1.  0.]
0,[ 0.84354203  0.15645797],[ 1.  0.]
0,[ 0.92029869  0.07970131],[ 1.  0.]
0,[ 0.73634705  0.26365295],[ 0.6  0.4]
0,[ 0.9370016  0.0629984],[ 1.  0.]
0,[ 0.9372935  0.0627065],[ 0.9  0.1]
0,[ 0.91766835  0.08233165],[ 1.  0.]
0,[ 0.90712088  0.09287912],[ 1.  0.]
0,[ 0.8819374  0.1180626],[ 0.9  0.1]
0,[ 0.90907444  0.09092556],[ 0.9  0.1]
0,[ 0.90718468  0.09281532],[ 1.  0.]
0,[ 0.90479489  0.09520511],[ 1.  0.]
0,[ 0.87357782  0.12642218],[ 0.7  0.3]
1,[ 0.80263569  0.19736431],[ 0.7  0.3]
0,[ 0.8658284  0.1341716],[ 0.9  0.1]
0,[ 0.90811473  0.09188527],[ 1.  0.]
0,[ 0.85110518  0.14889482],[ 0.8  0.2]
0,[ 0.92432852  0.07567148],[ 1.  0.]
0,[ 0.83308704  0.16691296],[ 0.9  0.1]
0,[ 0.91372475  0.08627525],[ 0.9  0.1]
0,[ 0.75252549  0.24747451],[ 0.8  0.2]
0,[ 0.89661845  0.10338155],[ 0.7  0.3]
0,[ 0.90300788  0.09699212],[ 0.8  0.2]
0,[ 0.89962623  0.10037377],[ 1.  0.]
0,[ 0.83517891  0.16482109],[ 1.  0.]
0,[ 0.91085805  0.08914195],[ 1.  0.]
0,[ 0.88792928  0.11207072],[ 0.8  0.2]
0,[ 0.85120114  0.14879886],[ 1.  0.]
1,[ 0.75519047  0.24480953],[ 0.8  0.2]
1,[ 0.89654822  0.10345178],[ 0.7  0.3]
0,[ 0.83902583  0.16097417],[ 1.  0.]
0,[ 0.92959321  0.07040679],[ 1.  0.]
0,[ 0.88876978  0.11123022],[ 0.8  0.2]
0,[ 0.93885148  0.06114852],[ 0.8  0.2]
0,[ 0.92492767  0.07507233],[ 0.9  0.1]
0,[ 0.90815559  0.09184441],[ 0.8  0.2]
0,[ 0.92218129  0.07781871],[ 0.9  0.1]
0,[ 0.93637487  0.06362513],[ 1.  0.]
0,[ 0.91085805  0.08914195],[ 1.  0.]
0,[ 0.85165196  0.14834804],[ 0.9  0.1]
0,[ 0.85836459  0.14163541],[ 1.  0.]
0,[ 0.92850484  0.07149516],[ 0.9  0.1]
0,[ 0.80207116  0.19792884],[ 0.6  0.4]
0,[ 0.73689074  0.26310926],[ 0.9  0.1]
0,[ 0.90718468  0.09281532],[ 1.  0.]
0,[ 0.83902583  0.16097417],[ 1.  0.]
0,[ 0.89945851  0.10054149],[ 0.7  0.3]
0,[ 0.93819804  0.06180196],[ 1.  0.]
0,[ 0.87011227  0.12988773],[ 0.8  0.2]
0,[ 0.90453971  0.09546029],[ 1.  0.]
0,[ 0.74821312  0.25178688],[ 0.5  0.5]
0,[ 0.93539974  0.06460026],[ 0.9  0.1]
0,[ 0.80694934  0.19305066],[ 0.7  0.3]
0,[ 0.82554576  0.17445424],[ 0.9  0.1]
0,[ 0.78747871  0.21252129],[ 0.9  0.1]
1,[ 0.75519047  0.24480953],[ 0.8  0.2]
0,[ 0.80251567  0.19748433],[ 0.8  0.2]
0,[ 0.85464556  0.14535444],[ 1.  0.]
0,[ 0.90447429  0.09552571],[ 0.8  0.2]
1,[ 0.84307112  0.15692888],[ 0.6  0.4]
0,[ 0.92432852  0.07567148],[ 1.  0.]
0,[ 0.9372935  0.0627065],[ 0.9  0.1]
0,[ 0.81039414  0.18960586],[ 1.  0.]
0,[ 0.92962527  0.07037473],[ 0.8  0.2]
0,[ 0.90830718  0.09169282],[ 0.8  0.2]
0,[ 0.93880798  0.06119202],[ 1.  0.]
0,[ 0.93448759  0.06551241],[ 1.  0.]
0,[ 0.82996803  0.17003197],[ 0.9  0.1]
1,[ 0.9344553  0.0655447],[ 0.9  0.1]
0,[ 0.89998132  0.10001868],[ 0.9  0.1]
0,[ 0.91130916  0.08869084],[ 1.  0.]
0,[ 0.86218393  0.13781607],[ 0.9  0.1]
0,[ 0.85552827  0.14447173],[ 1.  0.]
0,[ 0.85120114  0.14879886],[ 1.  0.]
0,[ 0.87997579  0.12002421],[ 0.9  0.1]
0,[ 0.93157946  0.06842054],[ 0.7  0.3]
0,[ 0.90575555  0.09424445],[ 0.9  0.1]
0,[ 0.90046779  0.09953221],[ 1.  0.]
0,[ 0.83308704  0.16691296],[ 0.9  0.1]
0,[ 0.85845665  0.14154335],[ 0.9  0.1]
0,[ 0.89612605  0.10387395],[ 0.9  0.1]
1,[ 0.7761622  0.2238378],[ 0.7  0.3]
0,[ 0.65890219  0.34109781],[ 0.4  0.6]
1,[ 0.91378444  0.08621556],[ 1.  0.]
0,[ 0.88637514  0.11362486],[ 0.9  0.1]
0,[ 0.91407383  0.08592617],[ 0.9  0.1]
0,[ 0.93113902  0.06886098],[ 1.  0.]
0,[ 0.91555834  0.08444166],[ 1.  0.]
0,[ 0.91766835  0.08233165],[ 1.  0.]
0,[ 0.86218393  0.13781607],[ 0.9  0.1]
0,[ 0.88792928  0.11207072],[ 0.8  0.2]
1,[ 0.82605786  0.17394214],[ 0.9  0.1]
1,[ 0.91312915  0.08687085],[ 0.9  0.1]
0,[ 0.90300788  0.09699212],[ 0.8  0.2]
0,[ 0.91251444  0.08748556],[ 0.8  0.2]
1,[ 0.93885148  0.06114852],[ 0.8  0.2]
0,[ 0.93251518  0.06748482],[ 0.8  0.2]
0,[ 0.87019785  0.12980215],[ 1.  0.]
0,[ 0.91378444  0.08621556],[ 1.  0.]
0,[ 0.92024312  0.07975688],[ 0.7  0.3]
0,[ 0.88792928  0.11207072],[ 0.8  0.2]
0,[ 0.85110518  0.14889482],[ 0.8  0.2]
0,[ 0.91523549  0.08476451],[ 0.8  0.2]
0,[ 0.83735581  0.16264419],[ 0.9  0.1]
1,[ 0.92223563  0.07776437],[ 0.7  0.3]
0,[ 0.88884464  0.11115536],[ 0.9  0.1]
1,[ 0.92756873  0.07243127],[ 0.9  0.1]
1,[ 0.92751783  0.07248217],[ 0.9  0.1]
0,[ 0.81643002  0.18356998],[ 0.9  0.1]
0,[ 0.87357782  0.12642218],[ 0.7  0.3]
0,[ 0.88876978  0.11123022],[ 0.8  0.2]
0,[ 0.90837025  0.09162975],[ 1.  0.]
0,[ 0.93819804  0.06180196],[ 1.  0.]
0,[ 0.79812837  0.20187163],[ 0.6  0.4]
0,[ 0.67253772  0.32746228],[ 0.5  0.5]
0,[ 0.90479489  0.09520511],[ 1.  0.]
0,[ 0.8507497  0.1492503],[ 0.8  0.2]
0,[ 0.8121634  0.1878366],[ 1.  0.]
0,[ 0.88629883  0.11370117],[ 1.  0.]
0,[ 0.90300788  0.09699212],[ 0.8  0.2]
0,[ 0.91594955  0.08405045],[ 0.8  0.2]
0,[ 0.89370765  0.10629235],[ 1.  0.]
0,[ 0.8427  0.1573],[ 1.  0.]
0,[ 0.75453101  0.24546899],[ 0.8  0.2]
0,[ 0.75971942  0.24028058],[ 0.4  0.6]
0,[ 0.91755725  0.08244275],[ 1.  0.]
1,[ 0.92720202  0.07279798],[ 1.  0.]
0,[ 0.86848045  0.13151955],[ 0.9  0.1]
0,[ 0.70000529  0.29999471],[ 0.4  0.6]
0,[ 0.78224129  0.21775871],[ 0.8  0.2]
0,[ 0.89686046  0.10313954],[ 0.8  0.2]
0,[ 0.92962527  0.07037473],[ 0.8  0.2]
0,[ 0.86251658  0.13748342],[ 1.  0.]
0,[ 0.67253772  0.32746228],[ 0.5  0.5]
0,[ 0.91372475  0.08627525],[ 0.9  0.1]
0,[ 0.90182752  0.09817248],[ 0.9  0.1]
1,[ 0.90870708  0.09129292],[ 0.7  0.3]
1,[ 0.90182752  0.09817248],[ 0.9  0.1]
0,[ 0.82646071  0.17353929],[ 0.9  0.1]
0,[ 0.90901181  0.09098819],[ 1.  0.]
0,[ 0.90025697  0.09974303],[ 0.6  0.4]
0,[ 0.70589616  0.29410384],[ 0.3  0.7]
0,[ 0.91981764  0.08018236],[ 0.8  0.2]
0,[ 0.82594899  0.17405101],[ 0.9  0.1]
0,[ 0.79755357  0.20244643],[ 0.9  0.1]
0,[ 0.92931794  0.07068206],[ 1.  0.]
0,[ 0.91347069  0.08652931],[ 1.  0.]
0,[ 0.8819374  0.1180626],[ 0.9  0.1]
0,[ 0.89897811  0.10102189],[ 1.  0.]
0,[ 0.91992596  0.08007404],[ 0.9  0.1]
0,[ 0.87989577  0.12010423],[ 1.  0.]
0,[ 0.90718468  0.09281532],[ 1.  0.]
1,[ 0.77086092  0.22913908],[ 0.4  0.6]
0,[ 0.80251567  0.19748433],[ 0.8  0.2]
0,[ 0.90811473  0.09188527],[ 1.  0.]
0,[ 0.85110518  0.14889482],[ 0.8  0.2]
0,[ 0.91518023  0.08481977],[ 0.9  0.1]
0,[ 0.91378444  0.08621556],[ 1.  0.]
0,[ 0.90314727  0.09685273],[ 0.8  0.2]
0,[ 0.78747871  0.21252129],[ 0.9  0.1]
0,[ 0.91562806  0.08437194],[ 1.  0.]
1,[ 0.74286035  0.25713965],[ 0.8  0.2]
0,[ 0.86574038  0.13425962],[ 1.  0.]
0,[ 0.91987348  0.08012652],[ 1.  0.]
0,[ 0.93724897  0.06275103],[ 0.9  0.1]
1,[ 0.88766894  0.11233106],[ 0.7  0.3]
0,[ 0.91340466  0.08659534],[ 1.  0.]
1,[ 0.90850271  0.09149729],[ 1.  0.]
1,[ 0.9176111  0.0823889],[ 1.  0.]
0,[ 0.75519047  0.24480953],[ 0.8  0.2]
0,[ 0.88876978  0.11123022],[ 0.8  0.2]
0,[ 0.92959321  0.07040679],[ 1.  0.]
0,[ 0.76023061  0.23976939],[ 0.9  0.1]
0,[ 0.79249902  0.20750098],[ 1.  0.]
1,[ 0.77629377  0.22370623],[ 0.7  0.3]
0,[ 0.92492767  0.07507233],[ 0.9  0.1]
0,[ 0.8075033  0.1924967],[ 0.8  0.2]
0,[ 0.90182752  0.09817248],[ 0.9  0.1]
0,[ 0.91529424  0.08470576],[ 1.  0.]
0,[ 0.88884464  0.11115536],[ 0.9  0.1]
0,[ 0.7707271  0.2292729],[ 0.7  0.3]
0,[ 0.86574038  0.13425962],[ 1.  0.]
0,[ 0.90182752  0.09817248],[ 0.9  0.1]
0,[ 0.91085805  0.08914195],[ 1.  0.]
0,[ 0.91512141  0.08487859],[ 0.8  0.2]
0,[ 0.85065349  0.14934651],[ 0.9  0.1]
0,[ 0.90575555  0.09424445],[ 0.9  0.1]
1,[ 0.92850484  0.07149516],[ 0.9  0.1]
1,[ 0.91130916  0.08869084],[ 1.  0.]
0,[ 0.86656623  0.13343377],[ 0.9  0.1]
0,[ 0.83902583  0.16097417],[ 1.  0.]
0,[ 0.93819804  0.06180196],[ 1.  0.]
0,[ 0.84722946  0.15277054],[ 0.9  0.1]
0,[ 0.87627543  0.12372457],[ 1.  0.]
0,[ 0.81684965  0.18315035],[ 0.9  0.1]
0,[ 0.84973155  0.15026845],[ 1.  0.]
0,[ 0.84759233  0.15240767],[ 1.  0.]
0,[ 0.91556952  0.08443048],[ 0.9  0.1]
1,[ 0.82646071  0.17353929],[ 0.9  0.1]
0,[ 0.75519047  0.24480953],[ 0.8  0.2]
0,[ 0.91766835  0.08233165],[ 1.  0.]
0,[ 0.7707271  0.2292729],[ 0.7  0.3]
1,[ 0.75453101  0.24546899],[ 0.8  0.2]
0,[ 0.92223563  0.07776437],[ 0.7  0.3]
0,[ 0.8427  0.1573],[ 1.  0.]
1,[ 0.91245395  0.08754605],[ 1.  0.]
0,[ 0.90830718  0.09169282],[ 0.8  0.2]
1,[ 0.93323878  0.06676122],[ 0.6  0.4]
0,[ 0.82996803  0.17003197],[ 0.9  0.1]
0,[ 0.9344553  0.0655447],[ 0.9  0.1]
0,[ 0.85922843  0.14077157],[ 0.9  0.1]
0,[ 0.90032497  0.09967503],[ 1.  0.]
0,[ 0.90647777  0.09352223],[ 0.9  0.1]
0,[ 0.8507497  0.1492503],[ 0.8  0.2]
0,[ 0.93058573  0.06941427],[ 0.8  0.2]
0,[ 0.83902583  0.16097417],[ 1.  0.]
1,[ 0.84666983  0.15333017],[ 1.  0.]
0,[ 0.83479224  0.16520776],[ 0.9  0.1]
0,[ 0.89612605  0.10387395],[ 0.9  0.1]
0,[ 0.93256283  0.06743717],[ 0.9  0.1]
0,[ 0.8894619  0.1105381],[ 1.  0.]
1,[ 0.7761622  0.2238378],[ 0.7  0.3]
0,[ 0.90815559  0.09184441],[ 0.8  0.2]
0,[ 0.91490027  0.08509973],[ 0.9  0.1]
1,[ 0.82605786  0.17394214],[ 0.9  0.1]
1,[ 0.80207116  0.19792884],[ 0.6  0.4]
1,[ 0.89619654  0.10380346],[ 0.9  0.1]
1,[ 0.65890219  0.34109781],[ 0.4  0.6]
0,[ 0.88876978  0.11123022],[ 0.8  0.2]
0,[ 0.91766835  0.08233165],[ 1.  0.]
0,[ 0.82439117  0.17560883],[ 0.9  0.1]
0,[ 0.93354688  0.06645312],[ 0.9  0.1]
0,[ 0.87989577  0.12010423],[ 1.  0.]
0,[ 0.8152286  0.1847714],[ 1.  0.]
0,[ 0.93058573  0.06941427],[ 0.8  0.2]
1,[ 0.76533601  0.23466399],[ 0.2  0.8]
0,[ 0.85543462  0.14456538],[ 0.9  0.1]
0,[ 0.88792928  0.11207072],[ 0.8  0.2]
0,[ 0.93514558  0.06485442],[ 0.8  0.2]
0,[ 0.85110518  0.14889482],[ 0.8  0.2]
1,[ 0.91251444  0.08748556],[ 0.8  0.2]
0,[ 0.9370463  0.0629537],[ 1.  0.]
1,[ 0.92751783  0.07248217],[ 0.9  0.1]
0,[ 0.89065114  0.10934886],[ 0.9  0.1]
0,[ 0.91556952  0.08443048],[ 0.9  0.1]
1,[ 0.77086092  0.22913908],[ 0.4  0.6]
0,[ 0.90815559  0.09184441],[ 0.8  0.2]
0,[ 0.81270647  0.18729353],[ 1.  0.]
0,[ 0.91589121  0.08410879],[ 0.9  0.1]
0,[ 0.90025697  0.09974303],[ 0.6  0.4]
0,[ 0.90300788  0.09699212],[ 0.8  0.2]
0,[ 0.59368964  0.40631036],[ 0.4  0.6]
0,[ 0.90575555  0.09424445],[ 0.9  0.1]
0,[ 0.91594955  0.08405045],[ 0.8  0.2]
0,[ 0.86615362  0.13384638],[ 0.9  0.1]
0,[ 0.8427  0.1573],[ 1.  0.]
0,[ 0.85543462  0.14456538],[ 0.9  0.1]
0,[ 0.87657894  0.12342106],[ 0.9  0.1]
0,[ 0.91576845  0.08423155],[ 0.9  0.1]
0,[ 0.85879682  0.14120318],[ 0.8  0.2]
1,[ 0.6656703  0.3343297],[ 0.8  0.2]
0,[ 0.83468775  0.16531225],[ 0.8  0.2]
0,[ 0.81974343  0.18025657],[ 1.  0.]
0,[ 0.86251658  0.13748342],[ 1.  0.]
0,[ 0.8832135  0.1167865],[ 0.9  0.1]
0,[ 0.90850271  0.09149729],[ 1.  0.]
1,[ 0.91523549  0.08476451],[ 0.8  0.2]
0,[ 0.79767584  0.20232416],[ 1.  0.]
0,[ 0.90039988  0.09960012],[ 0.9  0.1]
0,[ 0.90273901  0.09726099],[ 1.  0.]
0,[ 0.8832135  0.1167865],[ 0.9  0.1]
0,[ 0.90743351  0.09256649],[ 1.  0.]
0,[ 0.90901181  0.09098819],[ 1.  0.]
0,[ 0.9176111  0.0823889],[ 1.  0.]
1,[ 0.90025697  0.09974303],[ 0.6  0.4]
0,[ 0.91130916  0.08869084],[ 1.  0.]
0,[ 0.91981764  0.08018236],[ 0.8  0.2]
1,[ 0.69941565  0.30058435],[ 0.4  0.6]
0,[ 0.9370016  0.0629984],[ 1.  0.]
0,[ 0.90046779  0.09953221],[ 1.  0.]
0,[ 0.90712088  0.09287912],[ 1.  0.]
0,[ 0.82543664  0.17456336],[ 0.9  0.1]
0,[ 0.86939109  0.13060891],[ 1.  0.]
0,[ 0.90907444  0.09092556],[ 0.9  0.1]
0,[ 0.73098174  0.26901826],[ 0.6  0.4]
0,[ 0.90479489  0.09520511],[ 1.  0.]
0,[ 0.80263569  0.19736431],[ 0.7  0.3]
0,[ 0.85110518  0.14889482],[ 0.8  0.2]
1,[ 0.92432852  0.07567148],[ 1.  0.]
1,[ 0.78794798  0.21205202],[ 0.5  0.5]
0,[ 0.91372475  0.08627525],[ 0.9  0.1]
0,[ 0.82144468  0.17855532],[ 0.7  0.3]
0,[ 0.90314727  0.09685273],[ 0.8  0.2]
0,[ 0.90300788  0.09699212],[ 0.8  0.2]
0,[ 0.91793661  0.08206339],[ 0.9  0.1]
0,[ 0.85888865  0.14111135],[ 0.8  0.2]
0,[ 0.91987348  0.08012652],[ 1.  0.]
0,[ 0.88766894  0.11233106],[ 0.7  0.3]
0,[ 0.79755357  0.20244643],[ 0.9  0.1]
0,[ 0.75519047  0.24480953],[ 0.8  0.2]
0,[ 0.88876978  0.11123022],[ 0.8  0.2]
0,[ 0.87318372  0.12681628],[ 0.7  0.3]
0,[ 0.86839391  0.13160609],[ 0.9  0.1]
0,[ 0.93885148  0.06114852],[ 0.8  0.2]
0,[ 0.83854445  0.16145555],[ 1.  0.]
1,[ 0.92492767  0.07507233],[ 0.9  0.1]
0,[ 0.91529424  0.08470576],[ 1.  0.]
0,[ 0.9176111  0.0823889],[ 1.  0.]
0,[ 0.86574038  0.13425962],[ 1.  0.]
0,[ 0.86615362  0.13384638],[ 0.9  0.1]
0,[ 0.86615362  0.13384638],[ 0.9  0.1]
0,[ 0.91981764  0.08018236],[ 0.8  0.2]
0,[ 0.81974343  0.18025657],[ 1.  0.]
0,[ 0.85836459  0.14163541],[ 1.  0.]
0,[ 0.92850484  0.07149516],[ 0.9  0.1]
0,[ 0.73689074  0.26310926],[ 0.9  0.1]
0,[ 0.80570064  0.19429936],[ 0.9  0.1]
0,[ 0.84722946  0.15277054],[ 0.9  0.1]
0,[ 0.86979478  0.13020522],[ 1.  0.]
0,[ 0.81173551  0.18826449],[ 0.8  0.2]
0,[ 0.84759233  0.15240767],[ 1.  0.]
0,[ 0.85165196  0.14834804],[ 0.9  0.1]
0,[ 0.90222905  0.09777095],[ 0.6  0.4]
1,[ 0.74064676  0.25935324],[ 0.6  0.4]
0,[ 0.92213017  0.07786983],[ 0.8  0.2]
0,[ 0.75519047  0.24480953],[ 0.8  0.2]
0,[ 0.80251567  0.19748433],[ 0.8  0.2]
0,[ 0.84307112  0.15692888],[ 0.6  0.4]
1,[ 0.75453101  0.24546899],[ 0.8  0.2]
0,[ 0.92223563  0.07776437],[ 0.7  0.3]
0,[ 0.91245395  0.08754605],[ 1.  0.]
0,[ 0.91245395  0.08754605],[ 1.  0.]
0,[ 0.7480704  0.2519296],[ 0.8  0.2]
0,[ 0.90830718  0.09169282],[ 0.8  0.2]
0,[ 0.89998132  0.10001868],[ 0.9  0.1]
0,[ 0.85922843  0.14077157],[ 0.9  0.1]
0,[ 0.8507497  0.1492503],[ 0.8  0.2]
0,[ 0.87666087  0.12333913],[ 0.9  0.1]
0,[ 0.91130916  0.08869084],[ 1.  0.]
0,[ 0.70992047  0.29007953],[ 0.6  0.4]
0,[ 0.90743351  0.09256649],[ 1.  0.]
0,[ 0.91981764  0.08018236],[ 0.8  0.2]
0,[ 0.78211224  0.21788776],[ 0.8  0.2]
0,[ 0.83308704  0.16691296],[ 0.9  0.1]
0,[ 0.85845665  0.14154335],[ 0.9  0.1]
0,[ 0.83319234  0.16680766],[ 1.  0.]
0,[ 0.80207116  0.19792884],[ 0.6  0.4]
0,[ 0.86939109  0.13060891],[ 1.  0.]
0,[ 0.91407383  0.08592617],[ 0.9  0.1]
0,[ 0.89897811  0.10102189],[ 1.  0.]
0,[ 0.85120114  0.14879886],[ 1.  0.]
0,[ 0.86218393  0.13781607],[ 0.9  0.1]
0,[ 0.82439117  0.17560883],[ 0.9  0.1]
0,[ 0.87989577  0.12010423],[ 1.  0.]
0,[ 0.85543462  0.14456538],[ 0.9  0.1]
0,[ 0.86218393  0.13781607],[ 0.9  0.1]
1,[ 0.8496348  0.1503652],[ 1.  0.]
0,[ 0.93251518  0.06748482],[ 0.8  0.2]
0,[ 0.91245395  0.08754605],[ 1.  0.]
0,[ 0.90743351  0.09256649],[ 1.  0.]
0,[ 0.85543462  0.14456538],[ 0.9  0.1]
